Time,Event,Seconds
1904-01-06 04:00:28.690240,DrumBase block started,446428.69024
1904-01-06 04:00:28.800256,Homing platform,446428.800256
1904-01-06 04:00:29.360256,Wait for run threshold...,446429.360256
1904-01-06 04:03:56.670240,Check halt probability,446636.67024
1904-01-06 04:03:56.670240,No halt,446636.67024
1904-01-06 04:03:56.670240,Wait for run threshold...,446636.67024
1904-01-06 04:05:03.873472,Check halt probability,446703.873472
1904-01-06 04:05:03.873472,No halt,446703.873472
1904-01-06 04:05:03.873472,Wait for run threshold...,446703.873472
1904-01-06 04:05:11.606560,Check halt probability,446711.60656
1904-01-06 04:05:11.606560,No halt,446711.60656
1904-01-06 04:05:11.606560,Wait for run threshold...,446711.60656
1904-01-06 04:05:28.810240,Block timer elapsed,446728.81024
1904-01-06 04:05:28.805984,DrumWithReverseHalt block started,446728.805984
1904-01-06 04:05:28.820256,Homing platform,446728.820256
1904-01-06 04:05:29.330240,Wait for run threshold...,446729.33024
1904-01-06 04:05:49.838624,Check halt probability,446749.838624
1904-01-06 04:05:49.838624,Halt delay: 0s,446749.838624
1904-01-06 04:05:49.838624,Apply halt: 2s,446749.838624
1904-01-06 04:05:51.855232,Wait for run threshold...,446751.855232
1904-01-06 04:06:17.787680,Check halt probability,446777.78768
1904-01-06 04:06:17.787680,No halt,446777.78768
1904-01-06 04:06:17.787680,Wait for run threshold...,446777.78768
1904-01-06 04:06:29.053984,Check halt probability,446789.053984
1904-01-06 04:06:29.053984,Halt delay: 0s,446789.053984
1904-01-06 04:06:29.053984,Apply halt: 2s,446789.053984
1904-01-06 04:06:31.060256,Wait for run threshold...,446791.060256
1904-01-06 04:06:42.353536,Check halt probability,446802.353536
1904-01-06 04:06:42.353536,No halt,446802.353536
1904-01-06 04:06:42.353536,Wait for run threshold...,446802.353536
1904-01-06 04:06:52.169888,Check halt probability,446812.169888
1904-01-06 04:06:52.169888,Halt delay: 0s,446812.169888
1904-01-06 04:06:52.169888,Apply halt: 2s,446812.169888
1904-01-06 04:06:54.200256,Wait for run threshold...,446814.200256
1904-01-06 04:07:00.452896,Check halt probability,446820.452896
1904-01-06 04:07:00.452896,Halt delay: 0s,446820.452896
1904-01-06 04:07:00.452896,Apply halt: 2s,446820.452896
1904-01-06 04:07:02.469536,Wait for run threshold...,446822.469536
1904-01-06 04:07:18.330240,Check halt probability,446838.33024
1904-01-06 04:07:18.330240,Halt delay: 0s,446838.33024
1904-01-06 04:07:18.330240,Apply halt: 2s,446838.33024
1904-01-06 04:07:20.350240,Wait for run threshold...,446840.35024
1904-01-06 04:07:30.910240,Check halt probability,446850.91024
1904-01-06 04:07:30.910240,No halt,446850.91024
1904-01-06 04:07:30.910240,Wait for run threshold...,446850.91024
1904-01-06 04:07:41.160256,Check halt probability,446861.160256
1904-01-06 04:07:41.160256,No halt,446861.160256
1904-01-06 04:07:41.160256,Wait for run threshold...,446861.160256
1904-01-06 04:09:01.610240,Check halt probability,446941.61024
1904-01-06 04:09:01.610240,No halt,446941.61024
1904-01-06 04:09:01.610240,Wait for run threshold...,446941.61024
1904-01-06 04:09:06.915360,Check halt probability,446946.91536
1904-01-06 04:09:06.915360,No halt,446946.91536
1904-01-06 04:09:06.915360,Wait for run threshold...,446946.91536
1904-01-06 04:09:10.265216,Check halt probability,446950.265216
1904-01-06 04:09:10.265216,No halt,446950.265216
1904-01-06 04:09:10.265216,Wait for run threshold...,446950.265216
1904-01-06 04:09:18.481600,Check halt probability,446958.4816
1904-01-06 04:09:18.481600,No halt,446958.4816
1904-01-06 04:09:18.481600,Wait for run threshold...,446958.4816
1904-01-06 04:09:27.681312,Check halt probability,446967.681312
1904-01-06 04:09:27.681312,No halt,446967.681312
1904-01-06 04:09:27.681312,Wait for run threshold...,446967.681312
1904-01-06 04:10:06.663296,Check halt probability,447006.663296
1904-01-06 04:10:06.663296,Halt delay: 0s,447006.663296
1904-01-06 04:10:06.663296,Apply halt: 2s,447006.663296
1904-01-06 04:10:08.679904,Wait for run threshold...,447008.679904
1904-01-06 04:10:16.990240,Check halt probability,447016.99024
1904-01-06 04:10:16.990240,No halt,447016.99024
1904-01-06 04:10:16.990240,Wait for run threshold...,447016.99024
1904-01-06 04:10:20.579520,Check halt probability,447020.57952
1904-01-06 04:10:20.579520,Halt delay: 0s,447020.57952
1904-01-06 04:10:20.579520,Apply halt: 2s,447020.57952
1904-01-06 04:10:22.610240,Wait for run threshold...,447022.61024
1904-01-06 04:10:31.845792,Check halt probability,447031.845792
1904-01-06 04:10:31.845792,No halt,447031.845792
1904-01-06 04:10:31.845792,Wait for run threshold...,447031.845792
1904-01-06 04:10:55.390240,Check halt probability,447055.39024
1904-01-06 04:10:55.390240,Halt delay: 0s,447055.39024
1904-01-06 04:10:55.390240,Apply halt: 2s,447055.39024
1904-01-06 04:10:57.410240,Wait for run threshold...,447057.41024
1904-01-06 04:11:02.961408,Check halt probability,447062.961408
1904-01-06 04:11:02.961408,No halt,447062.961408
1904-01-06 04:11:02.961408,Wait for run threshold...,447062.961408
1904-01-06 04:11:14.300256,Check halt probability,447074.300256
1904-01-06 04:11:14.300256,No halt,447074.300256
1904-01-06 04:11:14.300256,Wait for run threshold...,447074.300256
1904-01-06 04:11:33.720256,Check halt probability,447093.720256
1904-01-06 04:11:33.720256,Halt delay: 0s,447093.720256
1904-01-06 04:11:33.720256,Apply halt: 2s,447093.720256
1904-01-06 04:11:35.740256,Wait for run threshold...,447095.740256
1904-01-06 04:13:10.407104,Check halt probability,447190.407104
1904-01-06 04:13:10.407104,No halt,447190.407104
1904-01-06 04:13:10.407104,Wait for run threshold...,447190.407104
1904-01-06 04:13:13.757024,Check halt probability,447193.757024
1904-01-06 04:13:13.757024,No halt,447193.757024
1904-01-06 04:13:13.757024,Wait for run threshold...,447193.757024
1904-01-06 04:13:17.506880,Check halt probability,447197.50688
1904-01-06 04:13:17.506880,No halt,447197.50688
1904-01-06 04:13:17.506880,Wait for run threshold...,447197.50688
1904-01-06 04:13:31.000256,Check halt probability,447211.000256
1904-01-06 04:13:31.000256,Halt delay: 0s,447211.000256
1904-01-06 04:13:31.000256,Apply halt: 2s,447211.000256
1904-01-06 04:13:33.020256,Wait for run threshold...,447213.020256
1904-01-06 04:13:43.750240,Check halt probability,447223.75024
1904-01-06 04:13:43.750240,No halt,447223.75024
1904-01-06 04:13:43.750240,Wait for run threshold...,447223.75024
1904-01-06 04:13:47.689216,Check halt probability,447227.689216
1904-01-06 04:13:47.689216,Halt delay: 0s,447227.689216
1904-01-06 04:13:47.689216,Apply halt: 2s,447227.689216
1904-01-06 04:13:49.700256,Wait for run threshold...,447229.700256
1904-01-06 04:14:11.888384,Check halt probability,447251.888384
1904-01-06 04:14:11.888384,Halt delay: 0s,447251.888384
1904-01-06 04:14:11.888384,Apply halt: 2s,447251.888384
1904-01-06 04:14:13.920256,Wait for run threshold...,447253.920256
1904-01-06 04:15:01.310240,Check halt probability,447301.31024
1904-01-06 04:15:01.310240,Halt delay: 0s,447301.31024
1904-01-06 04:15:01.310240,Apply halt: 2s,447301.31024
1904-01-06 04:15:03.320288,Wait for run threshold...,447303.320288
1904-01-06 04:15:14.936256,Check halt probability,447314.936256
1904-01-06 04:15:14.936256,No halt,447314.936256
1904-01-06 04:15:14.936256,Wait for run threshold...,447314.936256
1904-01-06 04:15:51.230240,Check halt probability,447351.23024
1904-01-06 04:15:51.230240,No halt,447351.23024
1904-01-06 04:15:51.230240,Wait for run threshold...,447351.23024
1904-01-06 04:16:24.500576,Check halt probability,447384.500576
1904-01-06 04:16:24.500576,Halt delay: 0s,447384.500576
1904-01-06 04:16:24.500576,Apply halt: 2s,447384.500576
1904-01-06 04:16:26.517151,Wait for run threshold...,447386.517152
1904-01-06 04:16:31.010240,Check halt probability,447391.01024
1904-01-06 04:16:31.010240,No halt,447391.01024
1904-01-06 04:16:31.010240,Wait for run threshold...,447391.01024
1904-01-06 04:16:34.260256,Check halt probability,447394.260256
1904-01-06 04:16:34.260256,Halt delay: 0s,447394.260256
1904-01-06 04:16:34.260256,Apply halt: 2s,447394.260256
1904-01-06 04:16:36.280256,Wait for run threshold...,447396.280256
1904-01-06 04:17:14.360256,Check halt probability,447434.360256
1904-01-06 04:17:14.360256,No halt,447434.360256
1904-01-06 04:17:14.360256,Wait for run threshold...,447434.360256
1904-01-06 04:18:04.320256,Check halt probability,447484.320256
1904-01-06 04:18:04.320256,No halt,447484.320256
1904-01-06 04:18:04.320256,Wait for run threshold...,447484.320256
1904-01-06 04:18:08.040256,Check halt probability,447488.040256
1904-01-06 04:18:08.040256,No halt,447488.040256
1904-01-06 04:18:08.040256,Wait for run threshold...,447488.040256
1904-01-06 04:18:10.763648,Check halt probability,447490.763648
1904-01-06 04:18:10.763648,Halt delay: 0s,447490.763648
1904-01-06 04:18:10.763648,Apply halt: 2s,447490.763648
1904-01-06 04:18:12.770240,Wait for run threshold...,447492.77024
1904-01-06 04:18:50.570240,Check halt probability,447530.57024
1904-01-06 04:18:50.570240,No halt,447530.57024
1904-01-06 04:18:50.570240,Wait for run threshold...,447530.57024
1904-01-06 04:18:55.640256,Check halt probability,447535.640256
1904-01-06 04:18:55.640256,Halt delay: 0s,447535.640256
1904-01-06 04:18:55.640256,Apply halt: 2s,447535.640256
1904-01-06 04:18:57.670240,Wait for run threshold...,447537.67024
1904-01-06 04:19:13.778208,Check halt probability,447553.778208
1904-01-06 04:19:13.778208,No halt,447553.778208
1904-01-06 04:19:13.778208,Wait for run threshold...,447553.778208
1904-01-06 04:19:16.561440,Check halt probability,447556.56144
1904-01-06 04:19:16.561440,Halt delay: 0s,447556.56144
1904-01-06 04:19:16.561440,Apply halt: 2s,447556.56144
1904-01-06 04:19:18.561376,Wait for run threshold...,447558.561376
1904-01-06 04:19:21.870240,Check halt probability,447561.87024
1904-01-06 04:19:21.870240,Halt delay: 0s,447561.87024
1904-01-06 04:19:21.870240,Apply halt: 2s,447561.87024
1904-01-06 04:19:23.877888,Wait for run threshold...,447563.877888
1904-01-06 04:19:36.294144,Check halt probability,447576.294144
1904-01-06 04:19:36.294144,No halt,447576.294144
1904-01-06 04:19:36.294144,Wait for run threshold...,447576.294144
1904-01-06 04:19:40.770240,Check halt probability,447580.77024
1904-01-06 04:19:40.770240,Halt delay: 0s,447580.77024
1904-01-06 04:19:40.770240,Apply halt: 2s,447580.77024
1904-01-06 04:19:42.790240,Wait for run threshold...,447582.79024
1904-01-06 04:20:18.870240,Check halt probability,447618.87024
1904-01-06 04:20:18.870240,No halt,447618.87024
1904-01-06 04:20:18.870240,Wait for run threshold...,447618.87024
1904-01-06 04:20:26.650240,Check halt probability,447626.65024
1904-01-06 04:20:26.650240,No halt,447626.65024
1904-01-06 04:20:26.650240,Wait for run threshold...,447626.65024
1904-01-06 04:20:57.530240,Check halt probability,447657.53024
1904-01-06 04:20:57.530240,Halt delay: 0s,447657.53024
1904-01-06 04:20:57.530240,Apply halt: 2s,447657.53024
1904-01-06 04:20:59.550240,Wait for run threshold...,447659.55024
1904-01-06 04:21:05.600256,Check halt probability,447665.600256
1904-01-06 04:21:05.600256,No halt,447665.600256
1904-01-06 04:21:05.600256,Wait for run threshold...,447665.600256
1904-01-06 04:21:08.257760,Check halt probability,447668.25776
1904-01-06 04:21:08.257760,No halt,447668.25776
1904-01-06 04:21:08.257760,Wait for run threshold...,447668.25776
1904-01-06 04:21:10.641024,Check halt probability,447670.641024
1904-01-06 04:21:10.641024,No halt,447670.641024
1904-01-06 04:21:10.641024,Wait for run threshold...,447670.641024
1904-01-06 04:21:13.424288,Check halt probability,447673.424288
1904-01-06 04:21:13.424288,Halt delay: 0s,447673.424288
1904-01-06 04:21:13.424288,Apply halt: 2s,447673.424288
1904-01-06 04:21:15.430240,Wait for run threshold...,447675.43024
1904-01-06 04:22:21.755360,Check halt probability,447741.75536
1904-01-06 04:22:21.755360,No halt,447741.75536
1904-01-06 04:22:21.755360,Wait for run threshold...,447741.75536
1904-01-06 04:22:25.338592,Check halt probability,447745.338592
1904-01-06 04:22:25.338592,Halt delay: 0s,447745.338592
1904-01-06 04:22:25.338592,Apply halt: 2s,447745.338592
1904-01-06 04:22:27.370240,Wait for run threshold...,447747.37024
1904-01-06 04:23:18.080256,Check halt probability,447798.080256
1904-01-06 04:23:18.080256,No halt,447798.080256
1904-01-06 04:23:18.080256,Wait for run threshold...,447798.080256
1904-01-06 04:23:27.530240,Check halt probability,447807.53024
1904-01-06 04:23:27.530240,No halt,447807.53024
1904-01-06 04:23:27.530240,Wait for run threshold...,447807.53024
1904-01-06 04:23:33.830240,Check halt probability,447813.83024
1904-01-06 04:23:33.830240,No halt,447813.83024
1904-01-06 04:23:33.830240,Wait for run threshold...,447813.83024
1904-01-06 04:23:37.736192,Check halt probability,447817.736192
1904-01-06 04:23:37.736192,Halt delay: 0s,447817.736192
1904-01-06 04:23:37.736192,Apply halt: 2s,447817.736192
1904-01-06 04:23:39.752800,Wait for run threshold...,447819.7528
1904-01-06 04:24:15.034976,Check halt probability,447855.034976
1904-01-06 04:24:15.034976,Halt delay: 0s,447855.034976
1904-01-06 04:24:15.034976,Apply halt: 2s,447855.034976
1904-01-06 04:24:17.060256,Wait for run threshold...,447857.060256
1904-01-06 04:24:23.290240,Check halt probability,447863.29024
1904-01-06 04:24:23.290240,No halt,447863.29024
1904-01-06 04:24:23.290240,Wait for run threshold...,447863.29024
1904-01-06 04:26:11.540256,Check halt probability,447971.540256
1904-01-06 04:26:11.540256,Halt delay: 0s,447971.540256
1904-01-06 04:26:11.540256,Apply halt: 2s,447971.540256
1904-01-06 04:26:13.547680,Wait for run threshold...,447973.54768
1904-01-06 04:27:55.094304,Check halt probability,448075.094304
1904-01-06 04:27:55.094304,No halt,448075.094304
1904-01-06 04:27:55.094304,Wait for run threshold...,448075.094304
1904-01-06 04:27:57.760864,Check halt probability,448077.760864
1904-01-06 04:27:57.760864,No halt,448077.760864
1904-01-06 04:27:57.760864,Wait for run threshold...,448077.760864
1904-01-06 04:28:00.627456,Check halt probability,448080.627456
1904-01-06 04:28:00.627456,No halt,448080.627456
1904-01-06 04:28:00.627456,Wait for run threshold...,448080.627456
1904-01-06 04:28:02.950240,Check halt probability,448082.95024
1904-01-06 04:28:02.950240,Halt delay: 0s,448082.95024
1904-01-06 04:28:02.950240,Apply halt: 2s,448082.95024
1904-01-06 04:28:04.950240,Wait for run threshold...,448084.95024
1904-01-06 04:28:34.026336,Check halt probability,448114.026336
1904-01-06 04:28:34.026336,Halt delay: 0s,448114.026336
1904-01-06 04:28:34.026336,Apply halt: 2s,448114.026336
1904-01-06 04:28:36.060256,Wait for run threshold...,448116.060256
1904-01-06 04:28:45.975936,Check halt probability,448125.975936
1904-01-06 04:28:45.975936,No halt,448125.975936
1904-01-06 04:28:45.975936,Wait for run threshold...,448125.975936
1904-01-06 04:29:22.841376,Check halt probability,448162.841376
1904-01-06 04:29:22.841376,Halt delay: 0s,448162.841376
1904-01-06 04:29:22.841376,Apply halt: 2s,448162.841376
1904-01-06 04:29:24.850240,Wait for run threshold...,448164.85024
1904-01-06 04:29:36.940896,Check halt probability,448176.940896
1904-01-06 04:29:36.940896,No halt,448176.940896
1904-01-06 04:29:36.940896,Wait for run threshold...,448176.940896
1904-01-06 04:29:50.557120,Check halt probability,448190.55712
1904-01-06 04:29:50.557120,No halt,448190.55712
1904-01-06 04:29:50.557120,Wait for run threshold...,448190.55712
1904-01-06 04:30:28.820320,Block timer elapsed,448228.82032
